央视频道,#genre#
北京卫视,http://58.219.240.12:4001/rtp/239.49.8.11:9414#http://58.219.240.12:4001/rtp/239.49.8.141:6000
北京卫视,http://106.115.26.37:9999/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
安徽卫视,http://58.219.240.12:4001/rtp/239.49.0.52:8408#http://58.219.240.12:4001/rtp/239.49.1.36:6000
天津卫视,http://106.115.26.37:9999/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
天津卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0135_1.m3u8
天津卫视,http://58.219.240.12:4001/rtp/239.49.8.35:8620#http://58.219.240.12:4001/rtp/239.49.8.148:6000
吉林卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0116_1.m3u8
吉林卫视,http://58.219.240.12:4001/rtp/239.49.8.113:8000#http://58.219.240.12:4001/rtp/239.49.8.187:6000
河北卫视,http://58.219.240.12:4001/rtp/239.49.8.114:8000#http://58.219.240.12:4001/rtp/239.49.8.188:6000
河北卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0117_1.m3u8
山西卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0118_1.m3u8
云南卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0119_1.m3u8
贵州卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0120_1.m3u8
辽宁卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0121_1.m3u8
四川卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0123_1.m3u8
广东卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0125_1.m3u8
厦门卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0129_1.m3u8
山东卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0131_1.m3u8
东南卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0132_1.m3u8
东南卫视,http://58.219.240.12:4001/rtp/239.49.8.112:8000#http://58.219.240.12:4001/rtp/239.49.8.186:6000
四川卫视,http://58.219.240.12:4001/rtp/239.49.8.110:8000#http://58.219.240.12:4001/rtp/239.49.8.184:6000
陕西卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0136_1.m3u8
深圳卫视,http://106.115.26.37:9999/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&down=1
海南卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0137_1.m3u8
江西卫视,http://58.219.240.12:4001/rtp/239.49.8.111:8000#http://58.219.240.12:4001/rtp/239.49.8.185:6000
江西卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0138_1.m3u8
河南卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0139_1.m3u8
青海卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0140_1.m3u8
重庆卫视,http://wentaomeiyu1.x3322.net:3600/tsfile/live/0142_1.m3u8
少儿频道,#genre#
卡酷少儿,http://wentaomeiyu1.x3322.net:3600/tsfile/live/1017_1.m3u8
卡酷少儿,http://106.115.26.37:9999/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&down=1
卡酷少儿,http://gongzhuling.lnott.top:58000/hls/63/index.m3u8
金鹰卡通,http://wentaomeiyu1.x3322.net:3600/tsfile/live/1016_1.m3u8
金鹰卡通,http://106.115.26.37:9999/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
优漫卡通,http://58.219.240.12:4001/rtp/239.49.0.21:8160#http://58.219.240.12:4001/rtp/239.49.1.21:6000
嘉佳卡通,http://gongzhuling.lnott.top:58000/hls/65/index.m3u8
哈哈炫动,http://gongzhuling.lnott.top:58000/hls/66/index.m3u8
地方频道,#genre#
苏州新闻综合,http://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
苏州社会经济,http://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活,http://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州生活资讯,http://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
境外频道,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰中文,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰中文,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV43.m3u8
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
